,Title,Title_link,Comments,CommentsTime,CommentsLike,TransferedTime,Sentiment
10,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,i want another cool moment like when Tallahassee caged himself with 2 pistols.,1 week ago,54,13,pos
11,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Is he still looking for twinkies even after 10 years?,1 week ago,51,13,neg
12,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,The original cast is back 🔝🔝,1 week ago,26,13,pos
13,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"RULE #99:  When you see a notification for Zombieland 2 trailer, you immediately watch it!",1 week ago,24,13,pos
14,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Forget MCU phase 4. This really 'Put a smile on my face'.,1 week ago,62,13,pos
15,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,The last part of the trailer reminded me of Shaun of the dead when they saw those 2 look alike groups,1 week ago,9,13,pos
16,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,It comes out on my birthday 😁😭,1 week ago,60,13,pos
17,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Columbus' look a like should have been Michael Cera huge missed oppurtunity,1 week ago,9,13,neg
18,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Man kindergarten was crazy, this brings back flashbacks.




Still can’t wait for this damn movie.",1 week ago (edited),47,13,pos
19,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Damn who they gonna kill this time.,1 week ago,38,13,neg
20,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Is it just me or Jese Eisenberg looks the same on every movie?,1 week ago (edited),13,13,neg
21,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"I come to understand I would watch anything with AC/DC as soundtrack, it is just too much for my heart ^^",1 week ago,17,13,neg
22,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Wow seeing Emma Stone like a badass 💪🔥😎 that's make me love her more than everyday I grow my heart,1 week ago,6,13,pos
23,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Double Tap let's gooo!!! 
I L.O.V.E. the series 
I still remember ""Stupid little twinkies and he flipped out 👏👏👏👏👍
I love everyone ,little Rock, Witchchita, Tallahassee, Bill Murry ..📽🎞🎥📹📼📺
best part was when they played  the Soundtrack Two of the Lucky ones!",1 week ago,2,13,pos
24,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"And they still don't know what ""double tap"" means.",1 week ago,1,13,neg
25,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"They stuck to the rules
Rule 2: The Double Tap",1 week ago,1,13,neg
26,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"In a zombie world, you can count on zombies to run power plants.  

Thank you zombies for your service in a hard time like this.",1 week ago,4,13,pos
27,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Dude, I was JUST thinking about when the Zombieland 2 trailer was gonna drop.


Also, Avan Jogia omg!!! <3<3",1 week ago,0,13,neg
28,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"oh my Stone heart. I so miss you, Emma!!!",1 week ago,1,13,pos
29,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Lol the ending pretty much borrowing a scene from Shaun of the dead where your relatives has the same type of sidekicks in the group,1 week ago,1,13,neg
30,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,A sequel what have they found another stash of twinkies ?,1 day ago,0,2,neg
31,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,It's great to see how they find other survivors that they might fight or get to know. Keep it up!,1 week ago,0,13,pos
32,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Am I hallucinating?!

Oh yeah, the zombiegang is back for business 🤘",1 week ago,0,13,neg
33,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Yes yes I loved the first one thank u hollywood for makeing a second one,1 week ago,0,13,pos
34,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"From the Studio that brought you best picture Oscar winners
 From Here To Eternity and
 Bridge On The River Kwai…",1 week ago,3,13,pos
35,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,everything is better with an AC/DC song in it :-),1 week ago,1,13,pos
36,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Didn't know I needed This!!
Looks Great 👍☺",1 week ago,1,13,pos
37,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Looking forward to see what Thomas Middleditch is gonna bring :D,1 week ago,0,13,pos
38,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,I am way more excited about this than I should be !!! Yeeeee!!!!,1 week ago,0,13,pos
39,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,When Gabe will release Left 4 Dead 2+1??,1 week ago (edited),0,13,neg
40,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"It's been a while......


But I think it will be worth it!",1 week ago (edited),12,13,pos
41,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"I was seven when this movie came out and I first watched it, and now I'm almost a legal adult.

Hehehehehehe",1 week ago,0,13,pos
42,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,THANKS UNIVERSE!,1 week ago,1,13,pos
43,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Contractual Obligation: The Movie




love this cast but this just feels tired",1 week ago (edited),0,13,neg
44,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"bruh its beck
things went south after hollywood arts",1 week ago (edited),0,13,neg
45,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,the academy award mentions are so hilarious! they're all in a horror comedy together it;s as if they wasted their talents for this LOL,1 week ago,0,13,pos
46,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"You'll get good results in August 




Like to activate",1 week ago,20,13,pos
47,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,If they got thomas middleditch just for that one joke i am... i am.. not even mad about it. Love it,1 week ago,0,13,pos
48,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,When Emma stone has 0 recoil on any gun,1 week ago,1,13,neg
49,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Any time you need a good movie trailer, throw some ACDC on the soundtrack 👍",1 week ago,0,13,neg
50,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Abigail Breslin sounds like my hottest aunt.,5 days ago,0,6,pos
51,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Excited to see this but concerned it will fall flat if these scenes don't come together well on screen,4 days ago,0,5,pos
52,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Hell yeah! The first one was great. This trailer is lookin good!,1 week ago,0,13,pos
53,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Omg Luke wilson🥰😍👍 This is looking awesome!,1 week ago,4,13,pos
54,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Trailer. Nailed it. Don't let me down.,Joker Productions,2,0,pos
55,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Long overdue but I’m happy it’s here. 🥰,1 week ago,0,13,pos
56,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Is anyone else like why tf do they all still look literally the same, like they haven’t aged a day💀",1 week ago,0,13,neg
57,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"of course you look like a kind of guy that brings weed, YOU CAME FROM A NICKELODEON SHOW.",1 week ago,0,13,neg
58,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,iron man entry song from avengers 2012,1 day ago,0,2,pos
59,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,This puts a smile on my face.,1 week ago,1,13,pos
60,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Oh god I really hope this entire movies doesnt revolve around cliche love triangles, nonetheless I'm happy to see all of them back on screen together",1 week ago,0,13,pos
61,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Tallahassee would make a perfect president,1 week ago,1,13,pos
62,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Wait Zoey Dutch,1 week ago,1,13,neg
63,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,YES!!!!! The Zombieland Double Tap trailer finally came out! 🤙🤙🤙,1 week ago,2,13,pos
64,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,OMG. YES. YEESS. YEEEEESSS!!! I need to see this looks brilliant!,1 week ago,1,13,pos
65,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Though this was gonna be about Zombies? Apparently not.,1 week ago,0,13,neg
66,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"This seems unnecessary and yet, I'm intrigued!",1 week ago,0,13,pos
67,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,The way Madison greets Columbus is so adorable,1 week ago,0,13,pos
68,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Uhhhh I'm nervous it's gonna be terrible,1 week ago,1,13,neg
69,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Zombieland 1 was SO GOOD, I went to watch it with like 20 other friends.

I hope pt 2 can live up to the hype of pt 1!


We waited a decade long for this!",1 week ago,1,13,pos
70,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,WELL.....its about f&%king TIME!! I just finished telling my daughter last night while we were cruzing through Netflix that THIS was the best Zombie movie EVER....and despite the fact that she hates zombie movies....I'm going to FORCE her to watch this one because she will love it lol. Now THIS is just the cherry on top! 😊,1 week ago (edited),2,13,pos
71,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,I never clicked so fast IN MY LIFEE . IM SO READYY,1 week ago,1,13,pos
72,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,The sequel and comedy. Oh you never fail to impress Zombieland.,1 week ago,0,13,pos
73,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Emma Stone : All zombie movies are scary af..
Woody Harrelson : Hold my beer, please...",1 week ago,2,13,neg
74,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"A family.
So he want to do his sister",1 week ago,0,13,pos
75,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,I'm getting fed up with Jesse Eisenberg flexing on us mortals by not aging,5 days ago,0,6,neg
76,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Cod zombies double tap root beer?,1 day ago,0,2,neg
77,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Ok. I can't wait to see this. I've waited 10 years for this?,1 week ago,3,13,pos
78,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,it should have been Michael Cera @ 2:13 -- that would have been perfect.,1 week ago,1,13,neg
79,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Im SO excited for this...even though it'll probably be bad :c,1 week ago,0,13,pos
80,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,another sequel...yay...thanks Hollywood!,1 week ago,0,13,pos
81,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Zomilend one, of the, most underrated movies in recent history",1 week ago,0,13,pos
82,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"When you Double Tap, you also need to reload",1 week ago,0,13,pos
83,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"one step forward, three steps backwards, emma stone and woody...",1 week ago,0,13,pos
84,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,The original left off on such a good note. I hope they wont ruin this one!,1 week ago,0,13,pos
85,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"IDK the humor kinda fell flat for me, I have high hopes though!",1 week ago,0,13,neg
86,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Where are the zombies?😶,1 week ago,1,13,neg
87,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,FINALLY HERE WE GO.BEEN WAITING FOR CENTURY,1 week ago,0,13,pos
88,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"FINALLY!!! After 10 years, we FINALLY have MORE Zombieland. I’m so excited for this.",1 week ago,4,13,pos
89,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,I think it will be a nice film 👌🏻👏🏻👏🏻,1 week ago,0,13,pos
90,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,The end of this trailer is just like that one scene from Shaun of the Dead,1 week ago,0,13,neg
91,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,I'd come back from the dead to see this majestic looking shoot-fest!!!,1 week ago,1,13,pos
92,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"OMG!!! I remember watching this when I was in school, can't wait for the sequel",1 week ago (edited),0,13,pos
